"SHN_Id","Datnai","Sexe","Catlib","FedNom","Discipline","Club","DepLib","RegionLib","Fin de droits","Date début"
"shn11998","2002","F         ","Espoir","NATATION","Natation synchronisée","AS CORBEIL-ESSONNE","ESSONNE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn11999","1994","M         ","Jeune","RUGBY","Rugby a xv","LYON OU","RHONE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn12000","1997","F         ","Espoir","VOLLEY BALL","Volley ball","VOLLEY-BALL DE MILLY LA FORET","ESSONNE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn12001","1988","M         ","Partenaire d'entrainement","TENNIS","Tennis","VILLA PRIMROSE","GIRONDE","AQUITAINE","10/31/2015","11/1/2014"
"shn12002","2000","M         ","Espoir","FOOTBALL","Football","Tours FC","INDRE-ET-LOIRE","CENTRE","10/31/2015","11/1/2014"
"shn12003","1993","F         ","Espoir","EQUITATION","Sauts d'obstacle","ECURIE DE PEHOU","COTES-D'ARMOR","BRETAGNE","10/31/2015","11/1/2014"
"shn12004","1999","F         ","Espoir","NATATION","Natation synchronisée","PAYS D'AIX NATATION","BOUCHES-DU-RHONE","P.A.C.A.","10/31/2015","11/1/2014"
"shn12005","1996","M         ","Espoir","BASEBALL","Baseball","PHENIX DE PERPIGNAN BC","PYRENEES-ORIENTALES","LANGUEDOC-ROUSSILLON","10/31/2015","11/1/2014"
"shn12006","1999","M         ","Espoir","RUGBY","Rugby a xv","USA PERPIGNAN","PYRENEES-ORIENTALES","LANGUEDOC-ROUSSILLON","10/31/2015","11/1/2014"
"shn12007","1998","M         ","Espoir","BADMINTON","Badminton","NOZAY BADMINTON ASSOCIATION","ESSONNE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn12008","2000","M         ","Espoir","NATATION","Natation course","ES MASSY NATATION","ESSONNE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn12009","1996","M         ","Jeune","NATATION","Water-polo","CN NOISY-LE-SEC","SEINE-SAINT-DENIS","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn12010","1998","F         ","Jeune","SQUASH","Squash","HORIZON DE BEAULIEU SQUASH","EURE-ET-LOIR","CENTRE","10/31/2015","11/1/2014"
"shn12011","1985","M         ","Partenaire d'entrainement","TENNIS","Tennis","QUIMPERLE TC","FINISTERE","BRETAGNE","10/31/2015","11/1/2014"
"shn12012","1995","M         ","Jeune","TIR","Carabine","AMITIE LINGOLSHEIM","BAS-RHIN","ALSACE","10/31/2015","11/1/2014"
"shn12013","2001","F         ","Espoir","TIR A L'ARC","Tir olympique","LES ARCHERS DE LEOGNAN","GIRONDE","AQUITAINE","10/31/2015","11/1/2014"
"shn12014","1999","M         ","Espoir","BASEBALL","Baseball","CLERMONT-FERRAND","PUY-DE-DOME","AUVERGNE","10/31/2015","11/1/2014"
"shn12015","1996","M         ","Jeune","BOXE","Boxe anglaise","RING BERJALIEN","ISERE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn12016","1997","M         ","Jeune","ESCRIME","Epée","S.E. SPORTS REUNIS COLMAR","HAUT-RHIN","ALSACE","10/31/2015","11/1/2014"
"shn12017","1997","M         ","Espoir","HANDBALL","Handball","TEC","CHARENTE","POITOU-CHARENTES","10/31/2015","11/1/2014"
"shn12018","1998","M         ","Espoir","HOCKEY SUR GLACE","Hockey sur glace","GRENOBLE","ISERE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn12019","1997","F         ","Espoir","NATATION","Natation course","AQUA CLUB PONTAULT-ROISSY","SEINE-ET-MARNE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn12020","2000","F         ","Espoir","NATATION","Natation synchronisée","PAYS D'AIX NATATION","BOUCHES-DU-RHONE","P.A.C.A.","10/31/2015","11/1/2014"
"shn12021","1988","F         ","Elite","SKI","Surf des neiges","CO SEPT LAUX","ISERE","RHONE-ALPES","10/31/2016","11/1/2014"
"shn12022","1996","M         ","Elite","SAVATE","Assaut","ACADEMIE BF RONCHIN (59)","NORD","NORD-PAS-DE-CALAIS","10/31/2017","4/1/2015"
"shn12023","2002","M         ","Espoir","TENNIS","Tennis","TC COSTA VERDE","CORSE","CORSE","10/31/2015","11/1/2014"
"shn12024","1998","M         ","Espoir","HANDBALL","Handball","EAUBONNE","VAL-D'OISE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn12025","1997","M         ","Espoir","ATHLETISME","Concours","STADE VILLENEUVE-SUR-LOT","LOT-ET-GARONNE","AQUITAINE","10/31/2015","11/1/2014"
"shn12026","1998","M         ","Espoir","HANDBALL","Handball","LOUDEAC","COTES-D'ARMOR","BRETAGNE","10/31/2015","11/1/2014"
"shn12027","1995","M         ","Jeune","TIR","Carabine","HARTHOUSE HAGUENAU","BAS-RHIN","ALSACE","10/31/2015","11/1/2014"
"shn12028","1998","M         ","Espoir","ESCRIME","Sabre","CLUB D'ESCRIME DE VARCES","ISERE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn12029","2001","F         ","Espoir","NATATION","Natation course","DUMBEA NATATION","NOUMEA","NOUVELLE CALEDONIE","10/31/2015","11/1/2014"
"shn12030","1996","F         ","Espoir","JUDO","Judo","U S COLOMIERS JUDO","HAUTE-GARONNE","MIDI-PYRENEES","10/31/2015","11/1/2014"
"shn12031","1990","F         ","Senior","HOCKEY","Hockey sur gazon","LA GANTOISE HC","ETRANGER","ETRANGER","10/31/2015","11/1/2014"
"shn12032","1997","F         ","Espoir","ATHLETISME","Epreuves combinees","DIJON UC*","COTE-D'OR","BOURGOGNE","10/31/2015","11/1/2014"
"shn12033","1998","F         ","Espoir","ATHLETISME","Concours","MONTBELIARD BELFORT ATHLETISME*","TERRITOIRE DE BELFORT","FRANCHE-COMTE","10/31/2015","11/1/2014"
"shn12034","1997","F         ","Espoir","ATHLETISME","Courses sur piste","E PAYS FAYENCE ATHLETISME","VAR","P.A.C.A.","10/31/2015","11/1/2014"
"shn12035","2000","F         ","Espoir","BOXE","Boxe anglaise","BOXE ABBEVILLOISE","SOMME","PICARDIE","10/31/2015","11/1/2014"
"shn12036","1996","M         ","Espoir","ESCRIME","Sabre","LAME D'ÉMERAUDE DE DINARD","ILLE-ET-VILAINE","BRETAGNE","10/31/2015","11/1/2014"
"shn12037","1997","M         ","Jeune","ESCRIME","Fleuret","MELUN VAL DE SEINE","SEINE-ET-MARNE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn12038","1998","M         ","Espoir","ESCRIME","Fleuret","MELUN VAL DE SEINE","SEINE-ET-MARNE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn12039","1990","M         ","Senior","SKI","Ski alpin","CS LA PLAGNE","SAVOIE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn12040","1983","M         ","Elite","TENNIS","Tennis","LAGARDERE PARIS RACING","PARIS","ILE-DE-FRANCE","10/31/2016","11/1/2014"
"shn12041","1999","M         ","Espoir","SKI","Ski alpin","STE FOY TSE","SAVOIE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn12042","1999","M         ","Espoir","NATATION","Water-polo","FNC DOUAI","NORD","NORD-PAS-DE-CALAIS","10/31/2015","11/1/2014"
"shn12043","1997","F         ","Espoir","RUGBY","Rugby a xv","LILLE METROPOL RC VILLENEUVOIS","NORD","NORD-PAS-DE-CALAIS","10/31/2015","11/1/2014"
"shn12044","2001","M         ","Espoir","BASEBALL","Baseball","LA ROCHELLE BASEBALL","CHARENTE-MARITIME","POITOU-CHARENTES","10/31/2015","11/1/2014"
"shn12045","1995","M         ","Jeune","SKI","Ski de fond","SCNP ROCHOIS","HAUTE-SAVOIE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn12046","1999","M         ","Espoir","JUDO","Judo","C.S.A.D-C  SECTION JUDO","VIENNE","POITOU-CHARENTES","10/31/2015","11/1/2014"
"shn12047","1990","M         ","Jeune","MOTOCYCLISME","Enduro","MOTO CLUB DU VAR","VAR","P.A.C.A.","10/31/2015","11/1/2014"
"shn12048","1994","M         ","Espoir","SPORT ADAPTE","Athlétisme","RACING LUB NANTAIS","LOIRE-ATLANTIQUE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn12049","1997","M         ","Jeune","CANOE-KAYAK","Slalom","CANOK","TARN","MIDI-PYRENEES","10/31/2015","11/1/2014"
"shn12050","1999","F         ","Espoir","VOLLEY BALL","Volley ball","STADE CLERMONTOIS ","PUY-DE-DOME","AUVERGNE","10/31/2015","11/1/2014"
"shn12051","2001","F         ","Espoir","BASKET-BALL","Basket-ball","LIMOGES SAINT ANTOINE","HAUTE-VIENNE","LIMOUSIN","10/31/2015","11/1/2014"
"shn12052","1999","F         ","Espoir","RUGBY","Rugby a xv","RC THIERACHE","AISNE","PICARDIE","10/31/2015","11/1/2014"
"shn12053","1999","M         ","Espoir","NATATION","Natation course","DAUPHINS ROMANS PÉAGOIS","DROME","RHONE-ALPES","10/31/2015","11/1/2014"
"shn12054","1999","F         ","Espoir","NATATION","Natation synchronisée","CN ST-CYPRIEN","PYRENEES-ORIENTALES","LANGUEDOC-ROUSSILLON","10/31/2015","11/1/2014"
"shn12055","1989","M         ","Elite","SKI","Ski artistique","CS LA PLAGNE","SAVOIE","RHONE-ALPES","10/31/2016","11/1/2014"
